3-lr-dataset-fasttext-crawl-300d-2M-subword-particular.csv;0.8321226080793763;0.5414900828514488;0.8916267636840707;0.8321226080793763;0.5475302476763781;0.9786596007032791;0.8321226080793763;0.8559021247148729;0.8321226080793763;373968300;18003300;16587;45152
3-lr-dataset-fasttext-crawl-300d-2M-subword-particular.csv;0.8328534727143868;0.5393546336027355;0.8920320766328234;0.8328534727143869;0.5458531919753796;0.9778198340218427;0.8328534727143869;0.8403453305365416;0.8328534727143869;303971800;18002200;16587;45152
3-lr-dataset-fasttext-crawl-300d-2M-subword-particular.csv;0.8327205882352942;0.5400636550890534;0.8919637706094297;0.8327205882352942;0.5463821698046174;0.9780727715380905;0.8327205882352942;0.8450564565133057;0.8327205882352942;347002700;18000700;16587;45152
3-lr-dataset-fasttext-crawl-300d-2M-subword-particular.csv;0.8309930900070872;0.5400434548680859;0.8909233189375875;0.8309930900070872;0.5467949694694977;0.9784444119974463;0.8309930900070872;0.8516086293154057;0.8309930900070872;385967500;18000500;16587;45152
3-lr-dataset-fasttext-crawl-300d-2M-subword-particular.csv;0.8321890503189228;0.5416274010298046;0.8916689573293715;0.8321890503189228;0.5476101479221653;0.9786889553722795;0.8321890503189228;0.8564670331529673;0.8321890503189228;352970900;17998200;16587;45152
3-lr-dataset-fasttext-crawl-300d-2M-subword-particular.csv;0.8330527994330262;0.5413780152788935;0.8921686229932592;0.8330527994330262;0.5472136894575563;0.9783717701471313;0.8330527994330262;0.8511355763477324;0.8330527994330262;367002800;20007300;16587;45152
3-lr-dataset-fasttext-crawl-300d-2M-subword-particular.csv;0.8319011339475549;0.5411503391447686;0.8914717992674513;0.8319011339475549;0.5473391077856874;0.9785534371637346;0.8319011339475549;0.8542605758118873;0.8319011339475549;473993600;17999400;16587;45152
3-lr-dataset-fasttext-crawl-300d-2M-subword-particular.csv;0.8323662296243799;0.5411386198533049;0.8917516934055043;0.8323662296243799;0.5472155388304352;0.9784467099270467;0.8323662296243799;0.8523763485750697;0.8323662296243799;437972700;17999400;16587;45152
3-lr-dataset-fasttext-crawl-300d-2M-subword-particular.csv;0.8342266123316795;0.5415298591096755;0.8928763013036526;0.8342266123316796;0.5470313105057953;0.9781627491106119;0.8342266123316796;0.8474914746742962;0.8342266123316796;398993800;18967600;16587;45152
3-lr-dataset-fasttext-crawl-300d-2M-subword-particular.csv;0.8322554925584692;0.5395451477741501;0.8916594308638646;0.8322554925584692;0.5461256243335972;0.9779629447959343;0.8322554925584692;0.8433029054168903;0.8322554925584692;431990000;18006600;16587;45152
